Types d'aliments,aliment,link,Quantité,Eau,Protéines,Alcool,Glucides,Lipides,Vitamine A(rétinol),Bêta-carotène(provitamine A),Vitamine D(cholécalciférol),Vitamine E(tocophérol),Vitamine K1,Vitamine K2,Vitamine C,Vitamine B1(thiamine),Vitamine B2(riboflavine),Vitamine B3(niacine),Vitamine B5(acide panthonéique),Vitamine B6,Vitamine B9(acide folique),Vitamine B12(cobolamine),Calcium,Cuivre
aides-culinaires,Agar,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/agar-917616,100000000.0,91300000.0,540000.0,,6250000.0,30000.0,,,,870.0,2300000.0,,,5.0,22.0,55.0,300.0,32.0,85000000.0,,54000.0,61.0
aides-culinaires,Ail,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/ail-917655,100000000.0,67800000.0,5310000.0,,18600000.0,500000.0,,5000000.0,250000.0,80.0,800000.0,,500.0,200.0,10.0,100.0,360.0,1100.0,26100000.0,,11000.0,190.0
aides-culinaires,Aneth,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/aneth-917656,100000000.0,86000000.0,3930000.0,,3900000.0,1100000.0,,,,1700.0,,,70000.0,190.0,430.0,2400.0,300.0,300.0,116000000.0,,202000.0,220.0
aides-culinaires,Basilic,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/basilic-917657,100000000.0,91700000.0,3350000.0,,2550000.0,470000.0,,3140000000.0,,800.0,415000000.0,,14500.0,34.0,76.0,900.0,210.0,160.0,68000000.0,,273000.0,390.0
aides-culinaires,Bicarbonate de soude,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/bicarbonate-de-soude-917673,100000000.0,200000.0,100000.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
aides-culinaires,Cannelle,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/cannelle-917637,100000000.0,10600000.0,3870000.0,,27500000.0,1220000.0,,112000000.0,,2320.0,31200000.0,,3800.0,22.0,41.0,1330.0,360.0,160.0,6000000.0,,1000000.0,340.0
aides-culinaires,Câpre,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/capre-917624,100000000.0,83900000.0,2180000.0,,3500000.0,860000.0,,83000000.0,,880.0,24600000.0,,4300.0,18.0,140.0,650.0,27.0,23.0,23000000.0,,40000.0,370.0
aides-culinaires,Cardamome,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/cardamome-917638,100000000.0,8279999.999999999,10800000.0,,40500000.0,6700000.0,,,,,,,21000.0,200.0,180.0,1100.0,,230.0,,,383000.0,380.0
aides-culinaires,Carvi,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/carvi-917639,100000000.0,9870000.0,19800000.0,,11900000.0,14600000.0,,206000000.0,,2500.0,,,21000.0,380.0,380.0,3610.0,,360.0,10000000.0,,689000.0,910.0
aides-culinaires,Cerfeuil,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/aides-culinaires/cerfeuil-917658,100000000.0,87400000.0,3720000.0,,3630000.0,600000.0,,,,2900.0,,,37000.0,130.0,340.0,1500.0,300.0,26.0,220000000.0,,273000.0,73.0
